"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"25810","Ademosyne cameroni","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"25910","Ademosyne punctata","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"26010","Ulomites willcoxi","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"26110","Mesothoris clathrata","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"265","Mesostigmodera typica","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"266","Etheridgea australis","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,118.1832,-58.3847
"315","Kenderlyka consobrina","species","Norian","",228,208.5,85.199997,47.5,80.08,58.25,"Coleoptera",23,21,64.1849,55.1534
"3509","Coleoptera","order","Carnian","",237,228,9.99,49.790001,25.94,29.47,"Coleoptera",24,23,13.6961,24.814
"35410","Ademosyne speciosa","species","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Coleoptera",24,23,-4.7415,-59.7152
"35510","Moltenocupes townrowi","species","Carnian","",237,228,29.5,-29.5,2.03,-52.75,"Coleoptera",24,23,1.1599,-59.287
"3563","Ademosyne speciosa","species","Carnian","",237,228,29.5,-29.5,2.03,-52.75,"Coleoptera",24,23,1.1599,-59.287
"3572","Ademosyne prisca","species","Carnian","",237,228,29.5,-29.5,2.03,-52.75,"Coleoptera",24,23,1.1599,-59.287
"358","Umkomaasia depressa","species","Carnian","",237,228,29.459999,-29.540001,1.94,-52.76,"Coleoptera",24,23,1.0614,-59.3037
"3591","Pseudosilphites natalensis","species","Carnian","",237,228,29.459999,-29.540001,1.94,-52.76,"Coleoptera",24,23,1.0614,-59.3037
"3601","Coleoptera","order","Late Triassic","",237,201.3,29.049999,-28.566668,10.1,-51.82,"Coleoptera",24,20,1.4142,-58.2827
"36110","Coleoptera","order","Late Triassic","",237,201.3,29.5,-29.5,9.94,-52.82,"Coleoptera",24,20,1.1599,-59.287
"36210","Moltenocupes townrowi","species","Carnian","",237,228,28,-31.533333,-1.82,-53.43,"Coleoptera",24,23,-3.1637,-60.3255
"3636","Ademosyne reducta","species","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Coleoptera",24,23,-4.7415,-59.7152
"4891","Notocupes oxypygus","species","Carnian","",237,228,80.349998,43.450001,82.99,47.04,"Coleoptera",24,23,65.468,49.9247
"5112","Gnathosyne akkolkensis","species","Norian","",228,208.5,85.199997,47.5,80.08,58.25,"Coleoptera",23,21,64.1849,55.1534
"5231","Tricoleus punctatus","species","Carnian","",237,228,80.349998,43.450001,82.99,47.04,"Coleoptera",24,23,65.468,49.9247
"5241","Tricoleus incertus","species","Carnian","",237,228,80.349998,43.450001,82.99,47.04,"Coleoptera",24,23,65.468,49.9247
"535","Hadeocoleodes calus","species","Carnian","",237,228,80.349998,43.450001,82.99,47.04,"Coleoptera",24,23,65.468,49.9247
"5791","Ademosyne arcucciae","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"5801","Ademosyne arcucciae","species","Carnian","",237,228,-67.543999,-29.785,-26.04,-35.95,"Coleoptera",24,23,-34.0034,-45.542
"5812","Ademosyne arcucciae","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"5841","Ademosyne arcucciae","species","Carnian","",237,228,-69.113998,-29.080999,-27.76,-35.29,"Coleoptera",24,23,-35.7976,-43.6429
"586","Ademosyne elongatus","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"5871","Ademosyne elongatus","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"5881","Ademosyne hexacostata","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"5891","Ademosyne hexacostata","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"590","Ademosyne punctuada","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"591","Ademosyne punctuada","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"5921","Ademosyne punctuada","species","Carnian","",237,228,-67.543999,-29.785,-26.04,-35.95,"Coleoptera",24,23,-34.0034,-45.542
"5931","Argentinosyne frenguellii","species","Carnian","",237,228,-67.555,-29.752001,-26.06,-35.92,"Coleoptera",24,23,-34.0196,-45.5096
"5941","Argentinosyne frenguellii","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"5951","Argentinosyne gonaldiae","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Coleoptera",24,23,-34.106,-44.3772
"597","Argentinosyne gonaldiae","species","Norian","",228,208.5,-69.160004,-32.459999,-23.37,-42.41,"Coleoptera",23,21,-35.5949,-47.0191
